"id","municipio","linha","coluna","valor","tipo","criado_em","alterado_em"
"1","SERTÃOZINHO","0","0","Município","text","2025-09-09 02:12:32","2025-09-09 02:12:32"
"2","SERTÃOZINHO","0","1","Polo","text","2025-09-09 02:12:32","2025-09-09 02:12:32"
"3","SERTÃOZINHO","0","2","CoEscolaCenso","text","2025-09-09 02:12:32","2025-09-09 02:12:32"
"4","SERTÃOZINHO","0","3","NOME DO PROFESSOR REGENTE","text","2025-09-09 02:12:33","2025-09-09 02:12:33"
"5","SERTÃOZINHO","0","4","CPF - PROFESSOR REGENTE","text","2025-09-09 02:12:33","2025-09-09 02:12:33"
"6","SERTÃOZINHO","0","5","WHATSAPP PROF REGENTE","text","2025-09-09 02:12:33","2025-09-09 02:12:33"
"7","SERTÃOZINHO","0","6","NOME DO DIRETOR(A) DA UE","text","2025-09-09 02:12:33","2025-09-09 02:12:33"
"8","SERTÃOZINHO","0","7","CPF DIRETOR(A) DA UE","text","2025-09-09 02:12:33","2025-09-09 02:12:33"
"9","SERTÃOZINHO","0","8","WHATSAPP DIRETOR(A) DA UE","text","2025-09-09 02:12:34","2025-09-09 02:12:34"
"10","SERTÃOZINHO","0","9","UE - UNIDADE ESCOLAR","text","2025-09-09 02:12:34","2025-09-09 02:12:34"
"11","SERTÃOZINHO","0","10","Localização","text","2025-09-09 02:12:34","2025-09-09 02:12:34"
"12","SERTÃOZINHO","0","11","Rede","text","2025-09-09 02:12:34","2025-09-09 02:12:34"
"13","SERTÃOZINHO","0","12","Telefone1","text","2025-09-09 02:12:34","2025-09-09 02:12:34"
"14","SERTÃOZINHO","0","13","Telefone2","text","2025-09-09 02:12:34","2025-09-09 02:12:34"
"15","SERTÃOZINHO","0","14","CoTurmaCenso","text","2025-09-09 02:12:35","2025-09-09 02:12:35"
"16","SERTÃOZINHO","0","15","Turma","text","2025-09-09 02:12:35","2025-09-09 02:12:35"
"17","SERTÃOZINHO","0","16","Série","text","2025-09-09 02:12:35","2025-09-09 02:12:35"
"18","SERTÃOZINHO","0","17","Turno","text","2025-09-09 02:12:35","2025-09-09 02:12:35"
"19","SERTÃOZINHO","0","18","ObservacoesDaEscola","text","2025-09-09 02:12:35","2025-09-09 02:12:35"
